"id","publication_year","type","cited_by_count","is_oa","oa_status"
"https://openalex.org/W4213365861",2022,"article",259,TRUE,"gold"
"https://openalex.org/W2915071810",2019,"article",258,TRUE,"gold"
"https://openalex.org/W4379285544",2023,"article",258,FALSE,"closed"
"https://openalex.org/W2271075988",2016,"article",257,FALSE,"closed"
"https://openalex.org/W2734506432",2017,"article",257,TRUE,"hybrid"
"https://openalex.org/W2765444449",2017,"article",257,TRUE,"bronze"
"https://openalex.org/W2533948702",2016,"article",256,TRUE,"bronze"
"https://openalex.org/W4322503365",2023,"article",256,TRUE,"gold"
"https://openalex.org/W2343810975",2016,"article",255,TRUE,"green"
"https://openalex.org/W2465180286",2016,"article",255,TRUE,"bronze"
"https://openalex.org/W2511586762",2016,"article",255,FALSE,"closed"
"https://openalex.org/W2544682192",2016,"article",254,TRUE,"hybrid"
"https://openalex.org/W2529872601",2016,"article",253,FALSE,"closed"
"https://openalex.org/W2599723101",2017,"article",253,FALSE,"closed"
"https://openalex.org/W2755975603",2017,"article",253,FALSE,"closed"
"https://openalex.org/W2810850036",2018,"article",253,TRUE,"hybrid"
"https://openalex.org/W3006133100",2020,"article",253,TRUE,"green"
"https://openalex.org/W3093394156",2020,"article",253,TRUE,"green"
"https://openalex.org/W3167199537",2021,"article",253,FALSE,"closed"
"https://openalex.org/W2980514526",2019,"article",252,TRUE,"green"
"https://openalex.org/W3083453980",2020,"article",252,FALSE,"closed"
"https://openalex.org/W2609828677",2017,"article",250,TRUE,"hybrid"
"https://openalex.org/W2529081180",2016,"article",249,FALSE,"closed"
"https://openalex.org/W2790189896",2018,"article",249,TRUE,"bronze"
"https://openalex.org/W2792859614",2018,"article",249,TRUE,"hybrid"
"https://openalex.org/W2394913823",2016,"article",248,FALSE,"closed"
"https://openalex.org/W2767688726",2017,"article",248,FALSE,"closed"
"https://openalex.org/W2901282808",2018,"article",248,FALSE,"closed"
"https://openalex.org/W2996717109",2019,"article",248,TRUE,"gold"
"https://openalex.org/W4294233518",2015,"article",248,TRUE,"green"
"https://openalex.org/W4211263275",2022,"article",247,TRUE,"bronze"
"https://openalex.org/W2790781641",2018,"article",246,TRUE,"green"
"https://openalex.org/W3012301499",2020,"article",246,TRUE,"hybrid"
"https://openalex.org/W3097207116",2020,"article",246,TRUE,"bronze"
"https://openalex.org/W2604479233",2017,"article",245,TRUE,"bronze"
"https://openalex.org/W3037995553",2020,"article",245,FALSE,"closed"
"https://openalex.org/W2902323097",2018,"article",244,FALSE,"closed"
"https://openalex.org/W2508845814",2016,"article",243,FALSE,"closed"
"https://openalex.org/W2743298634",2017,"article",242,TRUE,"gold"
"https://openalex.org/W2991342487",2019,"article",242,TRUE,"gold"
"https://openalex.org/W3036491108",2020,"article",242,TRUE,"hybrid"
"https://openalex.org/W3113282647",2020,"article",242,FALSE,"closed"
"https://openalex.org/W2276352992",2015,"article",241,TRUE,"green"
"https://openalex.org/W2806458049",2018,"article",241,TRUE,"gold"
"https://openalex.org/W2999367331",2020,"article",241,FALSE,"closed"
"https://openalex.org/W2979538858",2019,"book",240,FALSE,"closed"
"https://openalex.org/W3106153034",2020,"article",240,FALSE,"closed"
"https://openalex.org/W2091786916",2015,"article",239,FALSE,"closed"
"https://openalex.org/W2116347708",2015,"article",239,TRUE,"gold"
"https://openalex.org/W2460278899",2016,"article",239,TRUE,"gold"
"https://openalex.org/W3092750687",2020,"article",239,TRUE,"green"
"https://openalex.org/W2190647770",2015,"article",238,TRUE,"green"
"https://openalex.org/W2808023833",2018,"article",238,TRUE,"green"
"https://openalex.org/W2992356442",2019,"article",238,TRUE,"gold"
"https://openalex.org/W3146280455",2021,"article",238,TRUE,"hybrid"
"https://openalex.org/W2797222872",2018,"article",237,TRUE,"gold"
"https://openalex.org/W3022522270",2020,"article",237,FALSE,"closed"
"https://openalex.org/W2050501721",2015,"article",236,TRUE,"hybrid"
"https://openalex.org/W2980494508",2019,"article",236,FALSE,"closed"
"https://openalex.org/W4210951763",2019,"book",236,FALSE,"closed"
"https://openalex.org/W2802531406",2018,"article",235,FALSE,"closed"
"https://openalex.org/W2982042951",2019,"article",235,TRUE,"green"
"https://openalex.org/W2895907989",2018,"article",234,TRUE,"gold"
