"year","oa_type","value","pc"
2017,"gold",27,0.145874979739586
2017,"hybrid",12,0.0648333243287049
2017,"green",8,0.0432222162191366
2017,"bronze",7,0.0378194391917446
2017,"closed",0,0
2017,"gold",0,0
2017,"hybrid",0,0
2017,"green",0,0
2017,"bronze",0,0
2017,"closed",42,0.226916635150467
2017,"gold",24,0.12966664865741
2017,"hybrid",8,0.0432222162191366
2017,"green",5,0.0270138851369604
2017,"bronze",3,0.0162083310821762
2017,"closed",14,0.0756388783834891
2017,"gold",12,0.0648333243287049
2017,"hybrid",5,0.0270138851369604
2017,"green",2,0.0108055540547842
2017,"bronze",1,0.00540277702739208
2018,"closed",2825,15.3182951957488
2018,"gold",784,4.25116581715649
2018,"hybrid",598,3.24259841665763
2018,"green",581,3.15041752521419
2018,"bronze",263,1.42609261468387
2018,"closed",820,4.44637241080143
2018,"gold",236,1.27968766945017
2018,"hybrid",192,1.04110183277302
2018,"green",119,0.64526624010411
2018,"bronze",42,0.227741025919098
2018,"closed",582,3.15583993059321
2018,"gold",216,1.17123956186965
2018,"hybrid",127,0.688645483136319
2018,"green",72,0.390413187289882
2018,"bronze",53,0.287387485088385
2018,"closed",975,5.28684524455048
2018,"gold",334,1.81108339659473
2018,"hybrid",182,0.986877778982757
2018,"green",179,0.970610562845678
2018,"bronze",96,0.520550916386509
2018,"closed",1150,6.23576618588006
2018,"gold",299,1.62129920832881
2018,"hybrid",223,1.20919639952283
2018,"green",162,0.878429671402234
2018,"bronze",87,0.471749267975274
2018,"closed",791,4.28912265480967
2018,"gold",253,1.37186856089361
2018,"hybrid",240,1.30137729096627
2018,"green",138,0.748291942305607
2018,"bronze",62,0.33618913349962
2018,"closed",225,1.22004121028088
2018,"gold",84,0.455482051838195
2018,"hybrid",44,0.23858583667715
2018,"green",39,0.211473809782019
2018,"bronze",32,0.173516972128836
2018,"closed",1769,9.59223511549723
2018,"gold",666,3.61132198243141
2018,"hybrid",480,2.60275458193255
2018,"green",326,1.76770415356252
2018,"bronze",185,1.00314499511984
2018,"closed",191,1.03567942739399
2018,"gold",73,0.395835592668908
2018,"hybrid",48,0.260275458193255
2018,"green",43,0.233163431298124
2018,"bronze",41,0.222318620540072
2018,"closed",27,0.146404945233706
2018,"gold",16,0.0867584860644182
2018,"hybrid",9,0.0488016484112352
2018,"green",7,0.037956837653183
2018,"bronze",6,0.0325344322741568
2018,"closed",174,0.943498535950548
2018,"gold",45,0.244008242056176
2018,"hybrid",36,0.195206593644941
2018,"green",34,0.184361782886889
2018,"bronze",15,0.081336080685392
2018,"closed",129,0.699490293894372
2018,"gold",44,0.23858583667715
2018,"hybrid",34,0.184361782886889
2018,"green",29,0.157249755991758
2018,"bronze",12,0.0650688645483136
2018,"closed",132,0.71575751003145
2018,"gold",95,0.515128511007483
2018,"hybrid",42,0.227741025919098
2018,"green",32,0.173516972128836
2018,"bronze",30,0.162672161370784
2018,"closed",161,0.873007266023208
2018,"gold",72,0.390413187289882
2018,"hybrid",62,0.33618913349962
2018,"green",20,0.108448107580523
2018,"bronze",10,0.0542240537902614
2018,"closed",60,0.325344322741568
2018,"gold",31,0.16809456674981
2018,"hybrid",19,0.103025702201497
2018,"green",11,0.0596464591692875
2018,"bronze",8,0.0433792430322091
2018,"closed",0,0
2018,"gold",0,0
2018,"hybrid",0,0
2018,"green",0,0
2018,"bronze",0,0
2018,"closed",47,0.254853052814228
2018,"gold",22,0.119292918338575
2018,"hybrid",10,0.0542240537902614
2018,"green",7,0.037956837653183
2018,"bronze",1,0.00542240537902614
2018,"closed",11,0.0596464591692875
2018,"gold",5,0.0271120268951307
2018,"hybrid",4,0.0216896215161045
2018,"green",4,0.0216896215161045
2018,"bronze",2,0.0108448107580523
2019,"closed",3201,16.2034927866363
2019,"gold",1010,5.11262971399646
2019,"hybrid",578,2.92584155909896
2019,"green",549,2.77904328018223
2019,"bronze",305,1.54391293343457
2019,"closed",825,4.17615793470008
2019,"gold",317,1.60465704884839
2019,"hybrid",166,0.840293596557833
2019,"green",93,0.470766894457099
2019,"bronze",73,0.369526702100734
2019,"closed",626,3.16881802075424
2019,"gold",215,1.08833206783093
2019,"hybrid",160,0.809921538850924
2019,"green",71,0.359402682865097
2019,"bronze",50,0.253100480890914
2019,"closed",1019,5.15818780055682
2019,"gold",410,2.07542394330549
2019,"hybrid",197,0.9972158947102
2019,"green",143,0.723867375348013
2019,"bronze",126,0.637813211845103
2019,"closed",1067,5.4011642622121
2019,"gold",343,1.73626929891167
2019,"hybrid",275,1.39205264490003
2019,"green",173,0.875727663882561
2019,"bronze",82,0.415084788661098
2019,"closed",777,3.9331814730448
