"year","institution","oa_type","value","pc"
2015,"Plant & Food Research","hybrid",41,14.5390070921986
2015,"Plant & Food Research","green",15,5.31914893617021
2015,"Plant & Food Research","bronze",10,3.54609929078014
2015,"Scion","closed",52,55.9139784946236
2015,"Scion","gold",19,20.4301075268817
2015,"Scion","hybrid",10,10.752688172043
2015,"Scion","green",8,8.60215053763441
2015,"Scion","bronze",4,4.3010752688172
2015,"Te Pūkenga","closed",0,NA
2015,"Te Pūkenga","gold",0,NA
2015,"Te Pūkenga","hybrid",0,NA
2015,"Te Pūkenga","green",0,NA
2015,"Te Pūkenga","bronze",0,NA
2015,"Cawthron Institute","closed",35,59.3220338983051
2015,"Cawthron Institute","gold",11,18.6440677966102
2015,"Cawthron Institute","hybrid",7,11.864406779661
2015,"Cawthron Institute","green",6,10.1694915254237
2015,"Cawthron Institute","bronze",0,0
2015,"Malaghan Institute","closed",12,37.5
2015,"Malaghan Institute","gold",12,37.5
2015,"Malaghan Institute","hybrid",7,21.875
2015,"Malaghan Institute","green",1,3.125
2015,"Malaghan Institute","bronze",0,0
2016,"University of Auckland","closed",2997,61.2257405515833
2016,"University of Auckland","gold",620,12.6659856996936
2016,"University of Auckland","hybrid",587,11.9918283963228
2016,"University of Auckland","green",421,8.60061287027579
2016,"University of Auckland","bronze",270,5.51583248212462
2016,"Auckland University of Technology","closed",788,63.5483870967742
2016,"Auckland University of Technology","gold",199,16.0483870967742
2016,"Auckland University of Technology","hybrid",131,10.5645161290323
2016,"Auckland University of Technology","green",79,6.37096774193548
2016,"Auckland University of Technology","bronze",43,3.46774193548387
2016,"University of Waikato","closed",493,51.9494204425711
2016,"University of Waikato","gold",218,22.9715489989463
2016,"University of Waikato","hybrid",103,10.8535300316122
2016,"University of Waikato","green",87,9.16754478398314
2016,"University of Waikato","bronze",48,5.05795574288725
2016,"Massey University","closed",1118,62.9150253235791
2016,"Massey University","gold",231,12.9994372537985
2016,"Massey University","hybrid",161,9.06021384355656
2016,"Massey University","green",157,8.8351153629713
2016,"Massey University","bronze",110,6.19020821609454
2016,"Victoria University of Wellington","closed",1185,66.6479190101237
2016,"Victoria University of Wellington","gold",246,13.8357705286839
2016,"Victoria University of Wellington","hybrid",165,9.28008998875141
2016,"Victoria University of Wellington","green",118,6.63667041619797
2016,"Victoria University of Wellington","bronze",64,3.59955005624297
2016,"University of Canterbury","closed",776,58.8324488248673
2016,"University of Canterbury","gold",206,15.6178923426839
2016,"University of Canterbury","hybrid",132,10.0075815011372
2016,"University of Canterbury","green",119,9.02198635329795
2016,"University of Canterbury","bronze",86,6.52009097801365
2016,"Lincoln University","closed",227,55.0970873786408
2016,"Lincoln University","gold",56,13.5922330097087
2016,"Lincoln University","hybrid",52,12.621359223301
2016,"Lincoln University","green",39,9.46601941747573
2016,"Lincoln University","bronze",38,9.22330097087379
2016,"University of Otago","closed",1793,57.0474069360484
2016,"University of Otago","gold",461,14.6675151129494
2016,"University of Otago","hybrid",458,14.5720649061406
