"year","institution","abbrev","country","key","count","pc"
2019,"The University of Western Australia","UWA","au","gold",943,16.5612925886898
2019,"The University of Western Australia","UWA","au","green",859,15.0860554970144
2019,"The University of Western Australia","UWA","au","bronze",754,13.2420091324201
2019,"The University of Western Australia","UWA","au","hybrid",282,4.95258166491043
2019,"The University of Western Australia","UWA","au","diamond",79,1.3874253600281
2019,"Monash University","MAU","au","closed",5355,50.1263689974726
2019,"Monash University","MAU","au","gold",1764,16.5122156697557
2019,"Monash University","MAU","au","green",1480,13.8537863895909
2019,"Monash University","MAU","au","bronze",1407,13.1704577365908
2019,"Monash University","MAU","au","hybrid",499,4.67097257324721
2019,"Monash University","MAU","au","diamond",178,1.66619863334269
2019,"The University of Adelaide","UA","au","closed",2753,53.76953125
2019,"The University of Adelaide","UA","au","gold",809,15.80078125
2019,"The University of Adelaide","UA","au","green",624,12.1875
2019,"The University of Adelaide","UA","au","bronze",556,10.859375
2019,"The University of Adelaide","UA","au","hybrid",268,5.234375
2019,"The University of Adelaide","UA","au","diamond",110,2.1484375
2019,"Australian National University","ANU","au","closed",2666,46.6410076976907
2019,"Australian National University","ANU","au","green",1104,19.3142057382785
2019,"Australian National University","ANU","au","bronze",811,14.1882435269419
2019,"Australian National University","ANU","au","gold",684,11.9664100769769
2019,"Australian National University","ANU","au","hybrid",336,5.87823652904129
2019,"Australian National University","ANU","au","diamond",115,2.01189643107068
2019,"University of Auckland","UOA","nz","closed",3083,56.8294930875576
2019,"University of Auckland","UOA","nz","gold",839,15.4654377880184
2019,"University of Auckland","UOA","nz","green",600,11.0599078341014
2019,"University of Auckland","UOA","nz","bronze",498,9.17972350230415
2019,"University of Auckland","UOA","nz","hybrid",283,5.21658986175115
2019,"University of Auckland","UOA","nz","diamond",122,2.24884792626728
2019,"University of Otago","UO","nz","closed",1794,53.0455351862803
2019,"University of Otago","UO","nz","gold",628,18.5688941454761
