"institution_name","publication_year","oa_status","count","percent"
"Victoria University of Wellington",2021,"diamond",138,0.0667
"Victoria University of Wellington",2021,"gold",307,0.1483
"Victoria University of Wellington",2021,"green",372,0.1797
"Victoria University of Wellington",2021,"hybrid",130,0.0628
"Victoria University of Wellington",2022,"bronze",75,0.0362
"Victoria University of Wellington",2022,"closed",868,0.4185
"Victoria University of Wellington",2022,"diamond",195,0.094
"Victoria University of Wellington",2022,"gold",292,0.1408
"Victoria University of Wellington",2022,"green",331,0.1596
"Victoria University of Wellington",2022,"hybrid",313,0.1509
"Victoria University of Wellington",2023,"bronze",152,0.0789
"Victoria University of Wellington",2023,"closed",675,0.3503
"Victoria University of Wellington",2023,"diamond",185,0.096
"Victoria University of Wellington",2023,"gold",274,0.1422
"Victoria University of Wellington",2023,"green",215,0.1116
"Victoria University of Wellington",2023,"hybrid",426,0.2211
"Victoria University of Wellington",2024,"bronze",146,0.0768
"Victoria University of Wellington",2024,"closed",723,0.3801
"Victoria University of Wellington",2024,"diamond",188,0.0988
"Victoria University of Wellington",2024,"gold",258,0.1356
"Victoria University of Wellington",2024,"green",129,0.0678
"Victoria University of Wellington",2024,"hybrid",458,0.2408
"Victoria University of Wellington",2025,"bronze",89,0.0473
"Victoria University of Wellington",2025,"closed",727,0.3861
"Victoria University of Wellington",2025,"diamond",164,0.0871
"Victoria University of Wellington",2025,"gold",259,0.1375
"Victoria University of Wellington",2025,"green",188,0.0998
"Victoria University of Wellington",2025,"hybrid",456,0.2422
"Victoria University of Wellington",2026,"bronze",19,0.019
"Victoria University of Wellington",2026,"closed",248,0.248
"Victoria University of Wellington",2026,"diamond",82,0.082
"Victoria University of Wellington",2026,"gold",144,0.144
"Victoria University of Wellington",2026,"green",228,0.228
"Victoria University of Wellington",2026,"hybrid",279,0.279
